"시군구","전용면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","거래유형"
"강원도 강릉시 견소동","84.945","202302","7","        25,500","1997","중개거래"
"강원도 강릉시 견소동","84.945","202302","23","        16,000","1997","직거래"
"강원도 강릉시 견소동","84.945","202302","23","        23,000","1997","직거래"
"강원도 강릉시 견소동","84.99","202302","11","        29,000","2005","중개거래"
"강원도 강릉시 교동","164.0098","202302","18","        59,500","2009","중개거래"
"강원도 강릉시 교동","59.49","202302","10","         9,300","1985","중개거래"
"강원도 강릉시 교동","84.84","202302","2","        34,500","1999","중개거래"
"강원도 강릉시 교동","59.89","202302","4","        23,000","1999","중개거래"
"강원도 강릉시 교동","59.89","202302","21","        23,000","1999","중개거래"
"강원도 강릉시 교동","59.89","202302","25","        23,300","1999","중개거래"
"강원도 강릉시 교동","59.74","202302","3","        25,000","2002","중개거래"
"강원도 강릉시 교동","78.96","202302","19","        14,700","1991","중개거래"
"강원도 강릉시 교동","54.81","202302","9","         9,000","1985","직거래"
"강원도 강릉시 교동","84.95","202302","4","        14,400","1992","중개거래"
"강원도 강릉시 남문동","127.311","202302","1","        28,300","1992","중개거래"
"강원도 강릉시 내곡동","58.74","202302","13","        12,500","1993","직거래"
"강원도 강릉시 내곡동","59.84","202302","25","        17,300","1998","중개거래"
"강원도 강릉시 내곡동","39.69","202302","11","         9,700","1989","중개거래"
"강원도 강릉시 노암동","59.976","202302","6","        15,000","1994","직거래"
"강원도 강릉시 노암동","105.858","202302","14","        22,500","1994","중개거래"
"강원도 강릉시 노암동","48.32","202302","23","         6,600","1989","중개거래"
"강원도 강릉시 노암동","48.32","202302","23","         6,900","1989","중개거래"
"강원도 강릉시 노암동","84.954","202302","18","        28,000","1998","중개거래"
"강원도 강릉시 노암동","59.67","202302","16","        10,000","1996","중개거래"
"강원도 강릉시 노암동","84.945","202302","16","        20,000","1992","중개거래"
"강원도 강릉시 송정동","84.9522","202302","17","        43,000","2020","중개거래"
"강원도 강릉시 송정동","84.97","202302","4","        21,500","1991","중개거래"
"강원도 강릉시 송정동","84.93","202302","6","        45,500","2019","중개거래"
"강원도 강릉시 송정동","84.93","202302","22","        61,500","2019","중개거래"
"강원도 강릉시 연곡면 영진리","59.987","202302","8","        18,000","2005","직거래"
"강원도 강릉시 연곡면 영진리","84.9157","202302","7","        25,000","2008","중개거래"
"강원도 강릉시 연곡면 영진리","84.9157","202302","15","        31,000","2008","중개거래"
"강원도 강릉시 연곡면 영진리","29.9674","202302","16","        12,000","2019","중개거래"
"강원도 강릉시 연곡면 영진리","29.9674","202302","22","        15,600","2019","중개거래"
"강원도 강릉시 유천동","84.77","202302","4","        49,900","2018","중개거래"
"강원도 강릉시 유천동","74.88","202302","10","        44,700","2018","중개거래"
"강원도 강릉시 유천동","84.77","202302","21","        50,500","2018","중개거래"
"강원도 강릉시 입암동","74.71","202302","5","        28,000","2014","중개거래"
"강원도 강릉시 입암동","84.94","202302","11","        32,000","2014","중개거래"
"강원도 강릉시 입암동","74.76","202302","16","        30,000","2014","중개거래"
"강원도 강릉시 입암동","84.93","202302","23","        35,000","2014","중개거래"
"강원도 강릉시 입암동","49.86","202302","14","         6,900","1987","중개거래"
"강원도 강릉시 입암동","59.685","202302","6","        13,000","1993","중개거래"
"강원도 강릉시 입암동","84.7","202302","15","        26,000","2006","중개거래"
"강원도 강릉시 입암동","122.72","202302","28","        33,000","2006","중개거래"
"강원도 강릉시 입암동","59.8","202302","10","        17,800","1996","중개거래"
"강원도 강릉시 입암동","59.8","202302","23","        15,000","1996","중개거래"
"강원도 강릉시 입암동","49.97","202302","5","        13,250","1996","중개거래"
"강원도 강릉시 입암동","49.97","202302","19","        12,800","1996","중개거래"
"강원도 강릉시 입암동","59.99","202302","7","        18,000","1998","중개거래"
"강원도 강릉시 입암동","59.99","202302","21","        17,400","1998","중개거래"
"강원도 강릉시 입암동","59.979","202302","20","        25,500","2019","중개거래"
"강원도 강릉시 입암동","79.191","202302","25","        33,000","2019","중개거래"
"강원도 강릉시 입암동","55.59","202302","3","        11,000","1986","중개거래"
"강원도 강릉시 입암동","84.904","202302","16","        26,700","1998","중개거래"
"강원도 강릉시 입암동","39.348","202302","3","         8,500","1998","중개거래"
"강원도 강릉시 입암동","39.348","202302","11","         7,500","1998","직거래"
"강원도 강릉시 저동","59.785","202302","7","        25,000","1996","중개거래"
"강원도 강릉시 주문진읍 교항리","49.85","202302","7","        13,000","2000","중개거래"
"강원도 강릉시 주문진읍 교항리","49.85","202302","14","        12,900","2000","중개거래"
"강원도 강릉시 주문진읍 교항리","49.85","202302","16","        13,800","2000","중개거래"
"강원도 강릉시 주문진읍 교항리","84.8819","202302","2","        18,000","2015","직거래"
"강원도 강릉시 주문진읍 교항리","49.86","202302","3","         6,900","1999","중개거래"
"강원도 강릉시 주문진읍 교항리","49.86","202302","6","         7,200","1999","중개거래"
"강원도 강릉시 주문진읍 교항리","49.86","202302","10","         7,000","1999","중개거래"
"강원도 강릉시 주문진읍 교항리","49.86","202302","27","         6,800","1999","중개거래"
"강원도 강릉시 주문진읍 교항리","49.89","202302","8","         6,200","1991","중개거래"
"강원도 강릉시 주문진읍 교항리","74.934","202302","3","        30,000","2020","중개거래"
"강원도 강릉시 주문진읍 교항리","59.8411","202302","23","        35,000","2020","직거래"
"강원도 강릉시 주문진읍 주문리","59.76","202302","23","        30,200","2019","중개거래"
"강원도 강릉시 주문진읍 주문리","45.6995","202302","2","        16,500","2017","직거래"
"강원도 강릉시 주문진읍 주문리","59.33","202302","9","         9,500","2007","중개거래"
"강원도 강릉시 주문진읍 주문리","59.33","202302","9","        10,000","2007","중개거래"
"강원도 강릉시 주문진읍 주문리","84.974","202302","17","        16,500","2007","중개거래"
"강원도 강릉시 초당동","44.7","202302","15","        11,600","1994","중개거래"
"강원도 강릉시 포남동","59.677","202302","6","         8,500","1989","직거래"
"강원도 강릉시 포남동","54.945","202302","17","        10,450","1986","중개거래"
"강원도 강릉시 포남동","36.33","202302","23","         6,300","1989","중개거래"
"강원도 강릉시 포남동","58.87","202302","4","        18,400","1995","중개거래"
"강원도 강릉시 포남동","59.135","202302","11","        16,900","1995","중개거래"
"강원도 강릉시 포남동","59.135","202302","14","        15,900","1995","중개거래"
"강원도 강릉시 포남동","42.55","202302","2","        12,000","1981","중개거래"
"강원도 강릉시 홍제동","129.689","202302","8","        43,000","2007","중개거래"
"강원도 강릉시 홍제동","146.966","202302","18","        45,000","2007","중개거래"
"강원도 강릉시 홍제동","84.68","202302","10","        13,900","1991","직거래"
"강원도 강릉시 홍제동","59.78","202302","4","        29,800","2018","중개거래"
"강원도 강릉시 홍제동","59.98","202302","4","        29,800","2018","중개거래"
"강원도 강릉시 홍제동","59.98","202302","15","        27,800","2018","중개거래"
"강원도 강릉시 홍제동","59.98","202302","24","        32,700","2018","중개거래"
"강원도 강릉시 홍제동","84.97","202302","4","        42,000","2015","중개거래"
"강원도 강릉시 홍제동","59.78","202302","10","        30,000","2015","중개거래"
"강원도 강릉시 홍제동","59.96","202302","16","        27,900","2015","중개거래"
"강원도 고성군 간성읍 신안리","75.3428","202302","10","        24,500","2021","중개거래"
"강원도 고성군 간성읍 신안리","59.68","202302","7","        12,000","1998","중개거래"
"강원도 고성군 간성읍 신안리","84.92","202302","8","        16,000","1998","중개거래"
"강원도 고성군 간성읍 신안리","84.92","202302","10","        16,200","1998","중개거래"
"강원도 고성군 간성읍 신안리","59.68","202302","10","        11,400","1998","중개거래"
"강원도 고성군 간성읍 신안리","39.36","202302","17","         6,650","1998","중개거래"
"강원도 고성군 간성읍 신안리","39.36","202302","20","         7,500","1998","중개거래"
"강원도 고성군 간성읍 신안리","39.36","202302","27","         7,800","1998","중개거래"
"강원도 고성군 거진읍 송포리","70.64","202302","14","        23,000","2006","중개거래"
"강원도 고성군 토성면 봉포리","63.8634","202302","5","        26,000","2021","중개거래"
"강원도 고성군 토성면 봉포리","84.9767","202302","7","        44,000","2021","중개거래"
"강원도 고성군 토성면 봉포리","63.8634","202302","9","        25,000","2021","중개거래"
