"시군구","전용면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","거래유형"
"강원도 강릉시 견소동","84.93","202301","4","        25,000","1997","중개거래"
"강원도 강릉시 견소동","84.99","202301","5","        29,800","2005","중개거래"
"강원도 강릉시 견소동","84.99","202301","25","        28,500","2005","중개거래"
"강원도 강릉시 교동","59.86","202301","4","        20,000","2002","직거래"
"강원도 강릉시 교동","59.84","202301","11","        25,000","2002","중개거래"
"강원도 강릉시 교동","84.72","202301","6","        18,500","1991","중개거래"
"강원도 강릉시 교동","60.43","202301","29","         9,000","1979","직거래"
"강원도 강릉시 내곡동","39.3","202301","30","         9,200","1989","중개거래"
"강원도 강릉시 내곡동","59.97","202301","25","        11,000","1997","직거래"
"강원도 강릉시 내곡동","84.3","202301","25","        21,500","2008","중개거래"
"강원도 강릉시 노암동","59.3","202301","7","        11,300","1984","중개거래"
"강원도 강릉시 노암동","44.64","202301","26","        14,700","1998","중개거래"
"강원도 강릉시 노암동","84.945","202301","4","        17,500","1992","중개거래"
"강원도 강릉시 송정동","84.9955","202301","27","        42,000","2019","중개거래"
"강원도 강릉시 송정동","84.9955","202301","28","        42,000","2019","중개거래"
"강원도 강릉시 송정동","155.416","202301","10","        70,000","2007","직거래"
"강원도 강릉시 송정동","72.86","202301","4","        17,500","1992","중개거래"
"강원도 강릉시 송정동","84.544","202301","1","        24,000","1992","중개거래"
"강원도 강릉시 연곡면 영진리","84.9157","202301","19","        35,000","2008","중개거래"
"강원도 강릉시 유천동","96.3359","202301","18","        60,000","2021","중개거래"
"강원도 강릉시 입암동","84.93","202301","31","        33,500","2014","중개거래"
"강원도 강릉시 입암동","59.685","202301","6","        11,850","1993","중개거래"
"강원도 강릉시 입암동","39.85","202301","16","         5,950","2001","중개거래"
"강원도 강릉시 입암동","39.69","202301","11","        11,500","1990","중개거래"
"강원도 강릉시 입암동","59.8","202301","29","        14,400","1996","중개거래"
"강원도 강릉시 입암동","49.97","202301","2","        12,700","1996","중개거래"
"강원도 강릉시 입암동","59.99","202301","9","        18,000","1998","중개거래"
"강원도 강릉시 입암동","49.62","202301","11","        11,900","1998","중개거래"
"강원도 강릉시 입암동","59.99","202301","17","        18,000","1998","중개거래"
"강원도 강릉시 입암동","59.99","202301","18","        16,100","1998","중개거래"
"강원도 강릉시 입암동","49.62","202301","20","        13,900","1998","직거래"
"강원도 강릉시 입암동","49.62","202301","20","        13,900","1998","직거래"
"강원도 강릉시 입암동","59.99","202301","21","        18,400","1998","중개거래"
"강원도 강릉시 입암동","49.62","202301","30","        13,800","1998","중개거래"
"강원도 강릉시 입암동","79.191","202301","31","        35,000","2019","중개거래"
"강원도 강릉시 입암동","39.348","202301","3","         7,500","1998","중개거래"
"강원도 강릉시 입암동","34.722","202301","12","         5,300","1998","중개거래"
"강원도 강릉시 입암동","39.348","202301","13","         8,050","1998","중개거래"
"강원도 강릉시 입암동","34.722","202301","26","         6,600","1998","중개거래"
"강원도 강릉시 주문진읍 교항리","59.76","202301","26","         6,500","1992","직거래"
"강원도 강릉시 주문진읍 교항리","74.6238","202301","26","        20,000","2015","중개거래"
